;Mn;Pd;Cr;Rh;Pt;Ru;Ir;Ta;Nb;Sn;Sc;Co;Ni;Sm;V;La;Ce;Fe;Au;Ti;Zr;Hf;Ge;As;Ag;In;Cd;Zn;Te;Cu;Re;Mo;Y;Pb;Bi;Sb;Ga;Al;Si;Hg;W;Mg
Co;0.9901304044;0.6477921215;0.9938028095;0.9773734793;0.9992867894;0.9760136279;0.9770702274;0.8473133767;0.9992803697;0.3012424058;0.9094011688;0;0.1938198299;0.8877577322;0.9817286642;0.9338269925;0.9546452636;0.9307097725;0.3799236581;0.9421968997;0.7880007052;0.7880007052;0.9532379733;0.6789679183;0.5531864819;0.8693510711;0.7183441515;0.634856856;0.7293358459;0.3655772243;0.7107941871;0.7213711449;0.9250903047;0.7185093802;0.9236999575;0.8349901094;0.8355928027;0.8663631514;0.9634794499;0.9044521777;0.9303723058;0.9125042312
Ni;0.9988797781;0.8017594109;0.9998288506;0.8853483383;0.9715286844;0.9290453077;0.9303104897;0.9996991402;0.996593277;0.8577417188;0.6471783447;0.1938198299;0;0.9825824658;0.987549355;0.9772143884;0.976809036;0.9895873409;0.8494377594;0.9970278258;0.9960397373;0.9960397373;0.9832328564;0.9500573622;0.977446459;0.9800083614;0.9938094813;0.9851603612;0.993627767;0.9666025228;0.9987982421;0.9977187563;0.9933315523;0.9960164002;0.9801039355;0.9934696958;0.9845797993;0.9967600308;0.9966786314;0.9953796985;0.994303993;0.995214905
Sm;0.8362434698;0.9831973122;0.9929125926;0.9977607746;0.9974301813;0.9997266331;0.9996027332;0.9066587273;0.9829663709;0.3199764164;0.3947339037;0.8877577322;0.9825824658;0;5.237681184e-06;1;0.7509084987;0.04398767478;0.2116406545;0.3170537264;0.09176655522;0.09176655522;0.6283915183;0.2042693723;0.06375975177;0.1651790572;0.05452604743;0.02732036906;0.1896113426;0.04480095605;0.1553135848;0.1516492245;0.3199966872;0.02094289743;0.4215684681;0.08994486225;0.9968305344;0.1576107644;0.3160692113;0.7845238145;0.6331354943;0.7164031937
V;0.8648066738;0.982696497;0.988579911;0.9917136439;0.9977657064;0.9868919604;0.9873884114;0.9399142588;0.9613795074;0.6023970031;0.9456029737;0.9817286642;0.987549355;5.237681184e-06;0;0.002642748654;0.08222014356;0.04694172339;0.2597936707;0.7833831561;0.2853578846;0.2853578846;0.7851195772;0.6737249716;0.2075479837;0.7150663834;0.2554146633;0.1460359259;0.5905887324;0.1806749493;0.5019144976;0.4830676737;0.4190157343;0.1976600055;0.6278165789;0.5371577725;0.3912507802;0.5920664666;0.9347899711;0.5939706471;0.6686483427;0.6072132179
La;0.7455477814;0.975096822;0.9850198711;0.9962095682;0.9953789674;0.9995182042;0.9992998698;0.8816765422;0.9607332735;0.6063614172;0.5236705437;0.9338269925;0.9772143884;1;0.002642748654;0;0.06890496165;2.901435152e-10;0.3186183659;0.6449626147;0.4017511277;0.4017511277;0.8368628161;0.5827328547;0.3516114618;0.5410174059;0.3361518615;0.2594566944;0.6393849391;0.4315166265;0.615184562;0.6084981258;0.8017186154;0.3291592458;0.8115162463;0.5415538121;0.9992067236;0.6302515461;0.7633137824;0.9460308923;0.9010843368;0.9283865637
Ce;0.6988709583;0.9715614409;0.9790943554;0.9939450651;0.9932256067;0.9979629498;0.99770993;0.8740199575;0.9267578224;0.7808583777;0.609258963;0.9546452636;0.976809036;0.7509084987;0.08222014356;0.06890496165;0;6.525269903e-171;0.4384736762;0.7872241051;0.6291002568;0.6291002568;0.894612906;0.7604806124;0.5909377533;0.7214127697;0.5655709599;0.4992936503;0.830595069;0.7228238064;0.8289558122;0.8280363418;0.8752387204;0.589380378;0.8961461296;0.7585957295;0.9780097343;0.824675496;0.897215477;0.9679566155;0.9519716276;0.9613761975
Fe;0.9290253651;0.983740404;0.992075291;0.9819551097;0.9885521275;0.9828778437;0.9830827811;0.938610383;0.7247837611;0.9826525457;0.4898558616;0.9307097725;0.9895873409;0.04398767478;0.04694172339;2.901435152e-10;6.525269903e-171;0;0.8589116051;0.8404644768;0.9814249671;0.9814249671;0.7842583993;0.8285866938;0.9993782927;0.7655959179;0.9029449294;0.9926977832;0.9197527811;0.9751728822;0.9528352257;0.9636694105;0.6594831833;0.8955644457;0.7874757244;0.8549353885;0.804208409;0.9020116099;0.9041752525;0.8871904285;0.8891740392;0.8838996808
Au;0.9334619319;0.7932284776;0.8998406002;0.8358658326;0.8928104254;0.8527485851;0.854007066;0.9071375569;0.9870218491;0.8282590843;0.2008190064;0.3799236581;0.8494377594;0.2116406545;0.2597936707;0.3186183659;0.4384736762;0.8589116051;0;0.5244677851;0.7620883152;0.7620883152;0.1188768474;0.06380803571;0.2789324243;0.06000465379;0.1601193491;0.3202545745;0.2341517585;0.7444808907;0.4222138695;0.5125059216;0.3255802799;0.2170903761;0.155732241;0.2122950776;0.1606607196;0.3390485318;0.4617102432;0.4200373411;0.4314167886;0.3937555295
Ti;0.9030890663;0.9837440046;0.9667592542;0.9480499134;0.9684751527;0.9240052604;0.9260205701;0.9927114797;0.999496485;0.7054163227;0.671925936;0.9421968997;0.9970278258;0.3170537264;0.7833831561;0.6449626147;0.7872241051;0.8404644768;0.5244677851;0;0;0;0.5945192358;0.9287034333;0.3363340784;0.9762952694;0.4546175629;0.2946124096;0.7037039639;0.1302048512;0.5048572648;0.4600488526;0.2761829522;0.3851051556;0.369887398;0.7830039332;0.16576573;0.757849947;0.7070469939;0.2492591732;0.3173509168;0.2695394222
Zr;0.9640782591;0.9572803545;0.9617909664;0.865978719;0.8852780626;0.8440585947;0.845899536;0.9895872326;0.9986930431;0.9749478512;0.1619549864;0.7880007052;0.9960397373;0.09176655522;0.2853578846;0.4017511277;0.6291002568;0.9814249671;0.7620883152;0;0;0;0.2167635427;0.3396829307;0.8917682712;0.2918577146;0.7175693993;0.9031105523;0.3183093958;0.5500147961;0.497243526;0.6039315438;0.03904829443;0.5816697259;0.0588151794;0.233084093;0.02391788974;0.1906169081;0.1085294559;0.03985019956;0.04999616533;0.04260364158
Hf;0.9640782591;0.9572803545;0.9617909664;0.865978719;0.8852780626;0.8440585947;0.845899536;0.9895872326;0.9986930431;0.9749478512;0.1619549864;0.7880007052;0.9960397373;0.09176655522;0.2853578846;0.4017511277;0.6291002568;0.9814249671;0.7620883152;0;0;0;0.2167635427;0.3396829307;0.8917682712;0.2918577146;0.7175693993;0.9031105523;0.3183093958;0.5500147961;0.497243526;0.6039315438;0.03904829443;0.5816697259;0.0588151794;0.233084093;0.02391788974;0.1906169081;0.1085294559;0.03985019956;0.04999616533;0.04260364158
Ge;0.9706083962;0.9849601697;0.988291436;0.999357165;0.9990732619;0.9976078119;0.9977685072;0.9732453148;0.9999121754;0.5355293864;0.8461064307;0.9532379733;0.9832328564;0.6283915183;0.7851195772;0.8368628161;0.894612906;0.7842583993;0.1188768474;0.5945192358;0.2167635427;0.2167635427;0;0.2453765216;0.0167527306;0.2522137148;0.03468977204;0.01192596164;0.170675162;0.01313776896;0.1050152751;0.09994816888;0.771865762;0.03672413266;0.9376766036;0.1968769872;0.408416236;0.2419131224;0.5943932032;0.684812254;0.8511025185;0.7261848756
As;0.9803523688;0.9792944043;0.994132878;0.983155528;0.9947270508;0.984906659;0.985291393;0.9630425716;0.9982743601;0.2613389301;0.5358378912;0.6789679183;0.9500573622;0.2042693723;0.6737249716;0.5827328547;0.7604806124;0.8285866938;0.06380803571;0.9287034333;0.3396829307;0.3396829307;0.2453765216;0;0.0002208950922;0.2370719154;0.005852422393;0.0002603535512;0.2697652398;7.933789843e-05;0.09136722085;0.0916073434;0.1166363219;0.00820207391;0.008528897922;0.5236717441;0.02123422139;0.7379273355;0.5140986045;0.1146119221;0.1616728404;0.1256795994
Ag;0.9884615594;0.973644573;0.9862921143;0.9793115575;0.9888809931;0.9823681173;0.9825794673;0.9612321813;0.9996730024;0.8986405833;0.2879821508;0.5531864819;0.977446459;0.06375975177;0.2075479837;0.3516114618;0.5909377533;0.9993782927;0.2789324243;0.3363340784;0.8917682712;0.8917682712;0.0167527306;0.0002208950922;0;4.566913568e-08;0.001013943619;0.6430706988;0.009204302726;0.2393459609;0.05342518322;0.1256776569;0.02337124704;0.002513752809;9.60878908e-05;0.002234453609;0.002109326183;0.05519177075;0.07570676365;0.02576871939;0.03593611198;0.02531407014
In;0.9695505033;0.9884166259;0.988442794;0.9917554446;0.9971005148;0.9912330316;0.9914792635;0.9730038315;0.9994399133;0.3937981322;0.7381006683;0.8693510711;0.9800083614;0.1651790572;0.7150663834;0.5410174059;0.7214127697;0.7655959179;0.06000465379;0.9762952694;0.2918577146;0.2918577146;0.2522137148;0.2370719154;4.566913568e-08;0;4.364609619e-19;6.515259962e-29;0.264282341;0.001374846599;0.09677656096;0.08450473229;0.1210639485;3.606313032e-06;0.01152734489;0.2203631304;0.02738561193;0.5290698827;0.664657612;0.1529597693;0.2201246337;0.1666493025
