;Sc;Ga;Zr;Ru;Rh;Cd;In;Te;Hf;Re;Ir;Pd;La;As;Bi;Co;Sm;Sb;V;Ce;Ag;Ge;Mo;Y;Ta;Pt;Au;Zn;Hg;Pb;Cu;W;Mn;Sn;Cr;Ni;Nb;Mg;Al;Si;Ti;Fe
Ir;0.3195587189375426;0.0462001648993255;0.29485332685490284;1.0;0.9948286966024013;0.09994125522163444;0.10362671197336533;0.0737702560832467;0.29485332685490284;0.05435513533082682;1.0;0.7981097231421597;0.09724895184562737;0.12954603043284696;0.04923947191758188;0.21248875536395054;0.07339967347307481;0.060826529015956345;0.14665153822275712;0.10469196131205877;0.09650895717437784;0.08360647991932453;0.045054819729537676;0.03303818358299272;0.036159194078942754;0.9989896398843034;0.24606450653240955;0.09994125522163444;0.015381280709598889;0.05874076218026788;0.07578222417436625;0.020364607655471254;0.7431778016580682;0.09782259438088683;0.8330919828637096;0.2369320176952931;0.015982924043508397;0.018947130660916543;0.04581218378319628;0.03221114782464488;0.29485332685490284;0.09502273150428074
Pd;0.5966128285454046;0.09994614158495797;0.24377511675493593;0.7981097231421597;0.8551204213916337;0.16087900599740823;0.20045952915182286;0.16335292349915506;0.24377511675493593;0.1219294711966234;0.7981097231421597;1.0;0.14711695931367935;0.3088133915095146;0.12391784076184689;0.6555806660186092;0.12102551689019839;0.13692512662431955;0.1856167977961522;0.14883857287201982;0.17945403852258138;0.1408004951274656;0.10225876944061492;0.07199614634341565;0.10688964159738874;0.7702512102637795;0.3788790438027934;0.16087900599740823;0.04962107879418675;0.12738157582205525;0.16703497247531576;0.06058968141921093;0.518353621877036;0.3681874356570544;0.5818929468664779;0.7739049364181212;0.046848876680455995;0.05404689124379563;0.09946964235565575;0.06981987958856062;0.24377511675493593;0.14119091166306416
La;0.715997055462532;0.5597716073453245;0.5765989410469604;0.09724895184562737;0.10819934660696473;0.6426639279887312;0.6451365829538624;0.5369873831586437;0.5765989410469604;0.5143546135694049;0.09724895184562737;0.14711695931367935;1.0;0.603746059755265;0.6024931622731428;0.32903595361341936;0.928887602148637;0.6133013716066541;0.9493133489981913;0.9759382876885702;0.5914604144217219;0.5595533422619117;0.5042743940279547;0.6810709114462867;0.3001889210001719;0.09208287587289507;0.5585795984758797;0.6426639279887312;0.5069944175081926;0.6540059634433665;0.5235840752568498;0.5138631474311697;0.39588188904248767;0.46978109374997334;0.10624153066139198;0.13259641525797558;0.3508757761853406;0.5156873049024251;0.5587972874584051;0.5263624101102616;0.5765989410469604;0.9584380479414943
As;0.8102163671648299;0.8962724316409367;0.7404771743423467;0.12954603043284696;0.1631917877997034;0.9456511527137716;0.9733767824659864;0.9432832061357057;0.7404771743423467;0.9241264120385487;0.12954603043284696;0.3088133915095146;0.603746059755265;1.0;0.9446213195400145;0.711533240983493;0.7923642164011107;0.9461389630425001;0.7589586238948258;0.45054947573512427;0.94536248770221;0.8475733987776104;0.9070077517324585;0.870622992812317;0.3200221193306037;0.11423124857888821;0.7969854639690733;0.9456511527137716;0.857304195995645;0.9476576287875769;0.9382446390680076;0.8583225066601237;0.17361472422330312;0.7869290645991794;0.1233868621089168;0.358935728971551;0.0512369587448027;0.8590582726551452;0.8952589735632341;0.8588154440836437;0.7404771743423467;0.39709746270726587
Bi;0.7232034005133522;0.9785815852611811;0.8119431603177081;0.04923947191758187;0.06303894674379883;0.9307483634592959;0.9487519329899635;0.9743540238408676;0.8119431603177081;0.960750294834293;0.04923947191758187;0.1239178407618469;0.6024931622731428;0.9446213195400145;1.0;0.5354929809795167;0.8379136042975636;0.9906550338944726;0.7879326752473131;0.42408810901897465;0.9243471217812678;0.8523843709523188;0.9460918489898331;0.9606518001297787;0.20954040004283864;0.042971105259876095;0.6805532691710982;0.9307483634592959;0.9665218870411019;0.9789904936038707;0.9676332448298872;0.9687701874114037;0.1391526904747437;0.6933407237211112;0.060969315566827074;0.14609912454310478;0.017124514184345425;0.9701590576122725;0.9781423078598435;0.9653457470102469;0.8119431603177081;0.36248657538679513
Co;0.8064660784112696;0.49092403235181553;0.39783905998929514;0.21248875536395054;0.2932087934514807;0.5013168000234884;0.5655279841511481;0.6074003610505528;0.39783905998929514;0.5501221080814933;0.21248875536395054;0.6555806660186092;0.32903595361341936;0.711533240983493;0.5354929809795166;1.0;0.4175185193920682;0.5334729663407803;0.4184279972079371;0.2497961636149331;0.5481056245403759;0.46541943234341737;0.5175242112639725;0.4489346000152369;0.435570605517883;0.1760711038806845;0.5751234953782082;0.5013168000234884;0.44639186290801147;0.5135558763210741;0.6141750353981101;0.45684940876085534;0.09832349919819809;0.7066931371066871;0.09017899778913246;0.8329731685842733;0.050767596008267274;0.4508973861357578;0.49047813702362036;0.45712288641478455;0.39783905998929514;0.22224536116618368
Sm;0.7757824827163188;0.803784413265777;0.7523734984312471;0.07339967347307481;0.08333057779190331;0.8077645897691825;0.8224076104861788;0.775259335905065;0.7523734984312471;0.76134322588146;0.07339967347307481;0.12102551689019839;0.928887602148637;0.7923642164011107;0.8379136042975636;0.4175185193920682;1.0;0.8384899373140778;0.9742678816423492;0.8258754644022656;0.7656746082105422;0.7370114772787626;0.7511535829898607;0.9038117989227017;0.26748823273055383;0.06876336627252852;0.6173192241991785;0.8077645897691825;0.7759660795146323;0.8498484634309351;0.7632551618780598;0.7820342464335228;0.31887320286909304;0.6261892048289256;0.0731501484152424;0.11601424088821334;0.23831644778841796;0.7868874094162602;0.8031398421582187;0.7876523207199227;0.7523734984312471;0.7849667612800683
Sb;0.7245285901541224;0.9657152218659427;0.8009612249352749;0.060826529015956345;0.07507666271805061;0.934955969236009;0.9522284395221756;0.9610747432143354;0.8009612249352749;0.9458071964353226;0.060826529015956345;0.13692512662431952;0.613301371606654;0.9461389630425001;0.9906550338944727;0.5334729663407803;0.8384899373140778;1.0;0.7931409312443903;0.44000670205363746;0.9318526890532125;0.8495624599942437;0.9310193546141838;0.9494309285568912;0.20905466751200177;0.05432053584102034;0.7122970823039712;0.934955969236009;0.9479182581089327;0.978116165610028;0.9534706606192641;0.9508317871536209;0.15021507907635692;0.6984890241259208;0.07994515689835191;0.15372834639793193;0.019710685576594094;0.9516115727078263;0.9651738738366723;0.9486507974007454;0.8009612249352749;0.3799967447138384
V;0.7807125568624176;0.7680125445017242;0.7177498806034027;0.1466515382227571;0.15677882515279906;0.7765307987925697;0.783555600064078;0.7332054059720097;0.7177498806034027;0.7044493058114907;0.1466515382227571;0.1856167977961522;0.9493133489981912;0.7589586238948258;0.7879326752473131;0.4184279972079371;0.9742678816423493;0.7931409312443902;1.0;0.8723938622415816;0.7409295861653352;0.6941989665287841;0.6888075156605001;0.8291643456632689;0.3012751891470607;0.14168671189803242;0.6470796305861356;0.7765307987925697;0.7176856890823236;0.8122727941803825;0.7216498063294454;0.726304661554904;0.3676796360153442;0.5588926870533495;0.1296974270717464;0.1388718596582103;0.31190100530915055;0.7267439612809673;0.7673657373525762;0.7453294188255759;0.7177498806034027;0.8381787788589017
Ce;0.6311255113788148;0.37994886086660723;0.4369041603327014;0.10469196131205877;0.1148796653855375;0.5029692974039252;0.49704552933222024;0.3611707827030178;0.4369041603327014;0.33498752067706716;0.10469196131205877;0.14883857287201985;0.9759382876885702;0.45054947573512427;0.42408810901897465;0.2497961636149331;0.8258754644022654;0.4400067020536374;0.8723938622415816;1.0;0.44961472690327153;0.4185780077525209;0.3256862919530562;0.5051474468882107;0.2957238175553457;0.09983880723354925;0.4867368725149296;0.5029692974039252;0.3158504721854039;0.4960010201479777;0.34779381918216307;0.3225671471650019;0.4158569734110798;0.3393938044621271;0.11960906776234771;0.12743265643021706;0.3920325348994262;0.3227935811765084;0.37884974593727955;0.33846774936810964;0.4369041603327014;0.9973572597605792
