Tag initial;Nom commercial;Famille;Composition;Normalized Composition;stoich_entropy;avg_radius;std_radius;max_r_ratio;min_r_ratio;delta;avg_eneg;std_eneg;range_eneg;avg_weight;std_weight;unique_elements;avg_Z;std_Z;avg_VEC;std_VEC;avg_d;std_d;frac_d;avg_s;avg_p;avg_f;std_s;std_p;std_f;avg_d_shell_n;std_d_shell_n;avg_group;std_group;avg_period;std_period;avg_mendeleev_no;std_mendeleev_no;avg_en_allen;std_en_allen;avg_IE1;std_IE1;avg_EA;std_EA;avg_melting_point;std_melting_point;DeltaH_mix;d_virt;Formation Enthalpy (eV/atom);Decomposition Energy Per Atom MP (eV/atom);Melting Point (K);Shear Modulus (GPa);Bulk Modulus (GPa);Density;Creep (LMP);Log_10(K_A);G/B ratio;Omega;g1;g2;g3;g4;g5;g6;g7;g8;g9;g10;SR
CMSX-6_R06_0;CMSX?6;Ni-based;Al0.09910Co0.04726Cr0.10499Hf0.00031Mo0.01742Ni0.67007Ta0.00616Ti0.05470;Al0.0991Co0.04726Cr0.10499Hf0.00031Mo0.01742Ni0.67006Ta0.00616Ti0.0547;1.14;135.0;4.05;1.15;0.926;0.03;1.83;0.14;0.86;55.7;14.9;8.0;26.3;6.28;8.5;2.66;6.74;3.16;0.792;7.74;11.7;0.0906;0.745;1.98;1.12;2.73;0.352;9.4;2.16;3.93;0.371;64.9;9.12;10.6;0.899;7.34;0.553;0.938;0.335;1740.0;354.0;-0.258;37.6;-0.30394644;-0.0029250272;1696.0475;89.17247;180.27022;8.118253;30.887993;0.62343127;0.49466002;0.54834396;0.78829277;0.5809674;0.4486605;0.0851646623786239;0.4999470305859296;0.63492405;0.017101848;0.059620716;0.2898015824384207;0.22324373;6.9044354959964895
CMSX-10_F01_0;CMSX?10;Ni-based;Al0.13406B0.00012C0.00005Co0.02352Cr0.04000Hf0.00014Mo0.00269Nb0.00068Ni0.72559Re0.02166Ta0.02925Ti0.00303W0.01920;Al0.13406B0.00012C0.00005Co0.02352Cr0.04Hf0.00014Mo0.00269Nb0.00068Ni0.7256Re0.02166Ta0.02925Ti0.00303W0.0192;1.02;134.0;4.2;1.16;0.522;0.0313;1.84;0.128;1.25;63.0;34.9;13.0;29.1;13.4;9.54;3.76;7.9;5.2;0.829;7.98;12.2;0.984;1.31;3.68;3.58;2.74;0.646;9.9;1.81;4.01;0.647;67.1;7.67;10.7;0.85;7.39;0.585;0.97;0.316;1770.0;553.0;0.0224;43.3;-0.25459325;-0.0037907902;1564.4543;101.15996;185.79742;8.934787;31.934675;0.4777593;0.54446375;0.54028565;0.81594497;0.5268302;0.38266253;6.620539386953721e-05;0.5506077531847299;0.5138371;0.072026365;0.057401404;0.1794103173117458;0.27777633;9.10543744621684
CMSX-10M_C00_0;CMSX?10M;Ni-based;Al0.13484Co0.01869Cr0.02421Mo0.00262Nb0.00054Ni0.74695Re0.02197Ta0.02852Ti0.00316W0.01849;Al0.13484Co0.01869Cr0.02421Mo0.00262Nb0.00054Ni0.74696Re0.02197Ta0.02852Ti0.00316W0.01849;0.95;134.0;4.07;1.08;0.932;0.0303;1.85;0.126;0.66;62.9;34.6;10.0;29.1;13.3;9.59;3.72;7.93;5.16;0.827;7.99;12.2;0.966;1.29;3.66;3.55;2.74;0.643;9.97;1.73;4.01;0.643;67.4;7.37;10.7;0.839;7.4;0.58;0.981;0.314;1760.0;548.0;0.0234;43.4;-0.30511582;-0.009547868;1708.3994;89.862335;189.30197;9.090932;32.221626;0.87422985;0.47470364;0.4585171;0.82301915;0.5859706;0.37044445;4.168723836271896e-05;0.5115360291692809;0.6798241;0.016466556;0.03888765;0.1308171429024191;0.14824158;9.695022582482007
CMSX-10K_K04_0;CMSX?10K;Ni-based;Al0.13210Co0.03183Cr0.02405Hf0.00011Mo0.00261Nb0.00067Ni0.74121Re0.02015Ta0.02765Ti0.00261W0.01701;Al0.1321Co0.03183Cr0.02405Hf0.00011Mo0.00261Nb0.00067Ni0.74121Re0.02015Ta0.02765Ti0.00261W0.01701;0.973;134.0;4.03;1.16;0.932;0.0301;1.85;0.125;0.86;62.5;33.7;11.0;28.9;12.9;9.56;3.64;7.88;5.04;0.824;7.97;12.1;0.909;1.26;3.57;3.45;2.74;0.627;9.97;1.7;4.0;0.629;67.4;7.27;10.7;0.826;7.41;0.577;0.98;0.311;1750.0;534.0;0.0137;43.1;-0.25570285;-0.009512631;1734.2755;89.04744;180.23996;9.100061;32.12263;0.7901776;0.49404937;0.56885636;0.820603;0.5963932;0.36973497;5.509385509343297e-05;0.5038021189178516;0.6363383;0.069974884;0.06563743;0.1455510002729748;0.1707452;9.105437446216838
CMSX-2-4Re_D97_0;CMSX?2Ã‚Â +Ã‚Â 4Ã‚Â Re;Ni-based;Al0.12210Co0.05080Cr0.09220Mo0.00310Ni0.67350Re0.01290Ta0.01990Ti0.01250W0.01300;Al0.1221Co0.0508Cr0.0922Mo0.0031Ni0.6735Re0.0129Ta0.0199Ti0.0125W0.013;1.16;135.0;4.11;1.08;0.929;0.0306;1.83;0.13;0.66;59.9;29.0;9.0;27.8;11.2;9.09;3.41;7.37;4.52;0.811;7.85;12.0;0.641;1.14;3.12;2.93;2.73;0.55;9.67;1.96;3.97;0.555;66.1;8.33;10.6;0.827;7.36;0.583;0.949;0.314;1760.0;487.0;-0.0373;40.9;-0.31262702;-0.007249089;1699.5597;92.3573;190.47414;8.668385;31.121956;0.2322379;0.48488104;0.5435946;0.7947272;0.5823918;0.40384695;0.0026103431209362;0.5231921246379141;0.65727854;0.012858426;0.058303166;0.3115329831105839;0.38592458;7.195398507944518
AM1_R98_0;AM1;Ni-based;Al0.11800Co0.06600Cr0.08700Mo0.01300Ni0.65600Ta0.02700Ti0.01500W0.01800;Al0.118Co0.066Cr0.087Mo0.013Ni0.656Ta0.027Ti0.015W0.018;1.21;135.0;4.28;1.08;0.928;0.0317;1.83;0.136;0.66;60.3;28.7;8.0;28.0;11.1;9.04;3.32;7.42;4.46;0.821;7.87;12.0;0.63;1.13;3.15;2.9;2.75;0.548;9.59;2.02;3.99;0.557;65.8;8.5;10.6;0.881;7.37;0.577;0.945;0.308;1770.0;494.0;-0.0503;40.9;-0.3478545;-0.008947035;1722.339;96.65582;195.54195;8.7129545;31.44934;-0.121460795;0.49429712;0.51643264;0.8034856;0.5915955;0.40027532;0.0037190370976226;0.5663806166517374;0.63576484;0.0036601857;0.05127883;0.3697261989731406;0.5604335;7.900028101389596
AM3_G96_0;AM3;Ni-based;Al0.12811Co0.05381Cr0.08871Mo0.01350Ni0.66507Ta0.01110Ti0.02410W0.01560;Al0.12811Co0.05381Cr0.08871Mo0.0135Ni0.66507Ta0.0111Ti0.0241W0.0156;1.17;135.0;4.23;1.08;0.929;0.0314;1.83;0.135;0.66;57.6;23.7;8.0;26.9;9.39;8.75;3.12;7.02;4.01;0.802;7.78;11.8;0.374;0.996;2.73;2.26;2.68;0.501;9.66;2.03;3.94;0.495;66.1;8.67;10.6;0.851;7.34;0.593;0.947;0.312;1740.0;453.0;-0.033;39.3;-0.33376127;-0.0056153946;1689.1375;92.9088;190.14478;8.486979;30.908749;0.2051995;0.48862135;0.5104135;0.7888695;0.5781611;0.4184857;0.0233930656639275;0.5545448989726405;0.64880407;0.006167405;0.049834322;0.3227390393584814;0.39881647;7.900028101389596
MC2_D94_0;MC2;Ni-based;Al0.11211Co0.05105Cr0.09309Mo0.01301Ni0.65966Ta0.02002Ti0.02503W0.02603;Al0.11211Co0.05105Cr0.09309Mo0.01301Ni0.65966Ta0.02002Ti0.02503W0.02603;1.21;135.0;4.17;1.08;0.927;0.031;1.83;0.136;0.66;60.4;29.0;8.0;28.0;11.2;9.03;3.38;7.43;4.52;0.823;7.88;12.1;0.645;1.13;3.15;2.93;2.77;0.542;9.51;2.08;3.99;0.556;65.5;8.74;10.6;0.901;7.36;0.57;0.946;0.312;1790.0;504.0;-0.0755;41.0;-0.32793444;-0.007829161;1723.1234;95.65459;195.62115;8.650814;31.309433;-0.016756887;0.48897874;0.5480523;0.7997777;0.5919114;0.4052578;0.0039866784175994;0.5388248739027716;0.64798933;0.007595546;0.05953901;0.3697261989731406;0.5083777;7.900028101389596
MC533_C00_0;MC533;Ni-based;Al0.13424Cr0.08127Hf0.00034Ni0.71792Re0.00973Ru0.01792Si0.00215Ta0.02002W0.01642;Al0.13424Cr0.08127Hf0.00034Ni0.71791Re0.00973Ru0.01792Si0.00215Ta0.02002W0.01642;0.99;134.0;4.32;1.16;0.82;0.0322;1.84;0.135;0.9;60.4;29.8;9.0;28.0;11.6;9.14;3.43;7.56;4.72;0.827;7.85;12.0;0.651;1.17;3.28;2.95;2.7;0.589;9.85;1.86;3.97;0.583;66.9;7.98;10.6;0.818;7.35;0.589;0.985;0.295;1750.0;506.0;0.0977;41.6;-0.232367;-0.00464751;1726.2249;95.67528;180.38005;8.48255;31.688757;-0.6464097;0.5304094;0.6339652;0.80970985;0.5931593;0.41884503;0.0018123787075643;0.5861689306014459;0.5488205;0.124287285;0.08865459;0.1572068604548069;0.784624;7.828596914150953
MC544-R1_D04_0;MC544;Ni-based;Al0.13576Cr0.04697Hf0.00034Mo0.00636Ni0.73126Re0.01311Ru0.02416Si0.00217Ta0.01687Ti0.00638W0.01660;Al0.13576Cr0.04697Hf0.00034Mo0.00636Ni0.73128Re0.01311Ru0.02416Si0.00217Ta0.01687Ti0.00638W0.0166;1.01;134.0;4.27;1.16;0.821;0.0319;1.85;0.137;0.9;61.1;30.3;11.0;28.3;11.8;9.2;3.45;7.73;4.86;0.84;7.9;12.1;0.657;1.17;3.36;2.96;2.71;0.602;9.92;1.8;3.99;0.597;67.2;7.74;10.6;0.841;7.36;0.585;0.99;0.302;1750.0;516.0;-0.000764;42.2;-0.2465243;-0.007888116;1704.6953;96.28839;180.78775;8.429136;31.698042;0.09577661;0.53260463;0.60202664;0.80994827;0.58447206;0.423185;0.0011531500108413;0.574288212274924;0.54337907;0.08844792;0.076571606;0.1717743139274741;0.4522576;6.557847758830297
C1023_L18_0;C?1023;Ni-based;Al0.08699C0.00744Co0.09483Cr0.16659Mo0.04951Ni0.55262Ti0.04203;Al0.08699C0.00744Co0.09483Cr0.16659Mo0.04951Ni0.55261Ti0.04203;1.38;135.0;7.09;1.07;0.518;0.0524;1.84;0.16;1.01;55.9;13.3;7.0;26.2;5.83;8.14;2.47;6.74;3.16;0.829;7.68;11.8;0.0;0.762;2.16;0.0;2.77;0.35;9.08;2.26;3.95;0.404;63.7;9.53;10.5;0.97;7.34;0.648;0.9;0.316;1790.0;391.0;-0.0931;37.6;-0.3020888;-0.008262124;1583.3834;102.33713;192.31424;8.139222;29.876247;0.42818832;0.53213495;0.62350196;0.75878704;0.5346873;0.4469321;0.339807147196687;0.9594222353363204;0.5445442;0.018155288;0.08451767;0.5978686676144834;0.29809693;6.254581893462544
SRR99-A_S92_0;SRRÃ‚Â 99?A;Ni-based;Al0.12003C0.00074Co0.05001Cr0.09602Ni0.66717Ta0.00900Ti0.02701W0.03001;Al0.12003C0.00074Co0.05001Cr0.09602Ni0.66718Ta0.009Ti0.02701W0.03001;1.15;134.0;4.34;1.08;0.521;0.0323;1.83;0.131;1.05;58.8;27.1;8.0;27.4;10.5;8.94;3.33;7.15;4.31;0.8;7.82;11.9;0.546;1.09;2.94;2.71;2.72;0.521;9.6;2.05;3.96;0.526;65.8;8.7;10.6;0.861;7.36;0.594;0.951;0.311;1760.0;483.0;-0.0164;40.2;-0.28844687;-0.0058993753;1674.7856;95.78534;186.04916;8.581556;30.69743;0.30607668;0.5148389;0.57557046;0.7829439;0.57231665;0.410834;0.0073071687272211;0.5901330302283524;0.5870083;0.027781766;0.06772655;0.3005525732297103;0.35156816;8.05735276510363
SRR99_H85_0;SRRÃ‚Â 99 (HT);Ni-based;Al0.12000C0.00074Co0.05000Cr0.09620Ni0.66656Ta0.00910Ti0.02700W0.03040;Al0.12C0.00074Co0.05Cr0.0962Ni0.66656Ta0.0091Ti0.027W0.0304;1.15;134.0;4.34;1.08;0.521;0.0323;1.83;0.131;1.05;58.8;27.2;8.0;27.4;10.6;8.94;3.34;7.16;4.33;0.8;7.82;11.9;0.553;1.09;2.96;2.73;2.72;0.523;9.6;2.05;3.96;0.528;65.8;8.71;10.6;0.863;7.36;0.594;0.95;0.311;1760.0;485.0;-0.0157;40.2;-0.28844687;-0.0054759737;1674.8671;95.83425;186.04916;8.581556;30.69743;0.30607668;0.51510173;0.5755984;0.7829439;0.57234985;0.410834;0.0073071687272211;0.5901330302283524;0.5863709;0.027781766;0.06773538;0.3005525732297103;0.35156816;8.05735276510363
TMS-75_S08_0;TMS?75;Ni-based;Al0.13741Co0.12582Cr0.03565Hf0.00035Mo0.01288Ni0.63064Re0.01659Ta0.02049W0.02017;Al0.13741Co0.12582Cr0.03565Hf0.00035Mo0.01288Ni0.63064Re0.01659Ta0.02049W0.02017;1.23;134.0;4.17;1.16;0.932;0.0311;1.85;0.126;0.86;61.8;32.3;9.0;28.5;12.5;9.29;3.58;7.68;4.94;0.826;7.93;12.1;0.806;1.23;3.49;3.26;2.72;0.621;9.86;1.77;3.99;0.617;67.0;7.57;10.7;0.81;7.41;0.603;0.931;0.31;1760.0;537.0;0.136;42.5;-0.30069637;-0.011298865;1771.4155;95.49339;181.93811;8.830305;31.99947;-0.24948534;0.5248675;0.6246038;0.81756127;0.61120003;0.39092276;0.0005683405079457;0.5427474392332116;0.5625027;0.018981742;0.08494494;0.3944372285129094;0.6222174;6.718703103150348
TMS-138_S08_0;TMS?138;Ni-based;Al0.13429Co0.06148Cr0.03845Hf0.00035Mo0.01888Ni0.67802Re0.01677Ru0.01236Ta0.01933W0.02005;Al0.13429Co0.06148Cr0.03845Hf0.00035Mo0.01888Ni0.67804Re0.01677Ru0.01236Ta0.01933W0.02005;1.19;134.0;4.24;1.16;0.932;0.0316;1.85;0.134;0.9;62.5;32.4;10.0;28.8;12.5;9.31;3.57;7.89;5.03;0.848;7.95;12.2;0.791;1.23;3.55;3.23;2.74;0.624;9.86;1.78;4.01;0.626;67.0;7.61;10.6;0.84;7.39;0.589;0.96;0.304;1770.0;548.0;0.0442;43.0;-0.3010853;-0.013211412;1753.6259;98.864044;187.33325;9.039992;32.072025;0.1980941;0.52774423;0.59745014;0.81935805;0.6041315;0.37441307;0.0004833368049923;0.5624316403499052;0.5554109;0.018747658;0.074969225;0.3458104346684249;0.40222853;9.561123681954742
TMS-162_S08_0;TMS?162;Ni-based;Al0.13714Co0.06279Cr0.03681Hf0.00036Mo0.02593Ni0.64243Re0.01679Ru0.03787Ta0.01974W0.02013;Al0.13714Co0.06279Cr0.03681Hf0.00036Mo0.02593Ni0.64244Re0.01679Ru0.03787Ta0.01974W0.02013;1.3;134.0;4.41;1.16;0.932;0.0329;1.86;0.147;0.9;63.8;33.3;10.0;29.3;12.8;9.22;3.6;8.16;5.29;0.885;7.98;12.4;0.798;1.25;3.71;3.25;2.77;0.65;9.79;1.84;4.04;0.654;66.7;7.82;10.6;0.885;7.38;0.592;0.953;0.305;1800.0;574.0;0.00155;44.0;-0.32448423;-0.013560239;1793.8546;101.39902;189.08499;9.076942;32.219112;0.20229791;0.53626156;0.6195042;0.82295805;0.62004936;0.37153265;0.0009883764555964;0.6139350191934654;0.5342922;0.008574904;0.08298386;0.4862752138942231;0.40020865;9.561123681954742
TMS-173_S08_0;TMS?173;Ni-based;Al0.13332Co0.06104Cr0.03706Hf0.00036Mo0.01874Ni0.65446Re0.02380Ru0.03178Ta0.01988W0.01957;Al0.13332Co0.06104Cr0.03706Hf0.00036Mo0.01874Ni0.65445Re0.0238Ru0.03178Ta0.01988W0.01957;1.27;134.0;4.27;1.16;0.932;0.0318;1.86;0.142;0.9;64.2;34.4;10.0;29.5;13.2;9.36;3.7;8.2;5.37;0.876;8.0;12.4;0.891;1.28;3.76;3.42;2.78;0.653;9.8;1.81;4.04;0.661;66.8;7.68;10.6;0.867;7.39;0.587;0.953;0.31;1800.0;576.0;0.00447;44.3;-0.3199227;-0.008569997;1760.425;103.129585;189.49673;9.235904;32.311783;0.15116407;0.54422885;0.602398;0.82519716;0.6068384;0.35924685;0.0003199278099447;0.5703329127172483;0.5144239;0.010042643;0.076703005;0.4460051413465571;0.42498845;9.561123681954742
TMS-196_S08_0;TMS?196;Ni-based;Al0.13171Co0.06030Cr0.05614Hf0.00036Mo0.01587Ni0.64551Re0.02181Ru0.03139Ta0.01964W0.01726;Al0.13171Co0.0603Cr0.05614Hf0.00036Mo0.01587Ni0.64552Re0.02181Ru0.03139Ta0.01964W0.01726;1.29;134.0;4.29;1.16;0.932;0.0319;1.86;0.142;0.9;63.5;33.4;10.0;29.2;12.9;9.26;3.64;8.06;5.25;0.87;7.96;12.3;0.827;1.25;3.66;3.3;2.77;0.637;9.75;1.85;4.03;0.644;66.6;7.87;10.6;0.859;7.38;0.589;0.949;0.309;1800.0;561.0;0.00402;43.6;-0.30370587;-0.011078926;1791.2512;102.284424;189.64774;9.022331;31.937199;0.22060078;0.539339;0.6558436;0.81600815;0.6190266;0.37579295;0.0007223239372291;0.574288212274924;0.5266273;0.017235175;0.09789972;0.472720198094007;0.3914547;9.561123681954742
TMS-6_R06_0;TMS?6;Ni-based;Al0.12204Cr0.10993Ni0.70291Ta0.03571W0.02940;Al0.12204Cr0.10993Ni0.70292Ta0.03571W0.0294;0.97;135.0;4.29;1.08;0.928;0.0319;1.83;0.134;0.41;62.1;33.3;5.0;28.7;12.8;9.32;3.62;7.7;4.93;0.826;7.91;12.2;0.912;1.28;3.52;3.45;2.76;0.609;9.63;2.02;4.01;0.618;66.0;8.48;10.6;0.88;7.35;0.577;0.974;0.292;1790.0;543.0;0.147;42.2;-0.27653873;-0.008833286;1730.7582;96.66233;198.27718;8.941883;31.588274;-0.7984221;0.48751113;0.5233105;0.8071161;0.5949814;0.38210392;0.0004454382945765;0.574288212274924;0.6513296;0.039497174;0.052977894;0.1435622667580376;0.8315768;5.799843951637341
TMS-12_R06_0;TMS?12;Ni-based;Al0.12157Cr0.08007Ni0.72760Ta0.02684W0.04392;Al0.12157Cr0.08007Ni0.7276Ta0.02684W0.04392;0.924;134.0;4.07;1.08;0.93;0.0303;1.83;0.128;0.41;63.1;34.6;5.0;29.1;13.2;9.51;3.68;7.89;5.08;0.83;7.96;12.2;0.991;1.3;3.63;3.59;2.78;0.624;9.73;1.92;4.02;0.636;66.4;8.05;10.6;0.866;7.38;0.572;0.992;0.282;1800.0;568.0;0.203;43.1;-0.29861373;-0.008046223;1739.4773;101.25049;198.5903;9.138725;31.786356;-0.35154656;0.5098461;0.46396825;0.81220365;0.5984783;0.36673677;8.692885721987838e-05;0.5115360291692809;0.5990574;0.020279191;0.039919253;0.1155485104429754;0.66887325;5.799843951637341
HAYNES 230_0;HaynesÃ‚Â 230;Ni-based;Al0.00686C0.00514Co0.03141Cr0.26105Fe0.02210Mn0.00562Mo0.01286Ni0.59919Si0.00879W0.04699;Al0.00686C0.00514Co0.03141Cr0.26105Fe0.0221Mn0.00562Mo0.01286Ni0.59918Si0.00879W0.04699;1.18;136.0;5.96;1.07;0.515;0.0438;1.83;0.131;1.0;62.5;27.9;10.0;28.9;10.6;9.15;3.06;7.8;4.06;0.852;7.89;12.5;0.658;1.08;2.79;2.96;3.04;0.44;8.7;1.97;4.08;0.48;62.0;8.0;10.6;0.828;7.44;0.507;0.96;0.261;1940.0;455.0;0.143;41.3;-0.2277691;-0.007260537;1686.2917;101.89271;211.85733;8.965459;30.321642;0.11820476;0.48094964;0.7530558;0.77211165;0.57700396;0.38025022;0.0016826482338685;0.9629596376003352;0.666079;0.13804089;0.14998472;0.3341664579533467;0.44117132;6.672142285963717
Astroloy_B96_0;Astroloy;Ni-based;Al0.08503B0.00110C0.00130Co0.16005Cr0.15905Mo0.03001Ni0.52316Ti0.04001Zr0.00030;Al0.08503B0.0011C0.0013Co0.16005Cr0.15905Mo0.03001Ni0.52315Ti0.04001Zr0.0003;1.39;135.0;4.97;1.15;0.517;0.0368;1.83;0.141;1.22;55.6;11.6;9.0;26.1;5.16;8.23;2.4;6.63;2.87;0.806;7.69;11.7;0.0;0.688;1.85;0.0;2.77;0.306;9.11;2.15;3.94;0.348;63.7;9.07;10.5;0.857;7.36;0.579;0.881;0.314;1780.0;356.0;-0.164;37.2;-0.24296384;-0.006587222;1597.1036;94.099106;187.73021;8.20851;30.282614;1.0215436;0.50124645;0.7876142;0.77096516;0.5403718;0.44123036;0.2534589924193429;0.7646017092633773;0.61952573;0.09658132;0.17337002;0.6120103046083165;0.11475274;5.989432380383133
Udimet 500_D70_0;UdimetÃ‚Â 500;Ni-based;Al0.06007C0.00326Co0.18303Cr0.20100Mo0.02505Ni0.49258Ti0.03503;Al0.06007C0.00326Co0.18303Cr0.201Mo0.02505Ni0.49256Ti0.03503;1.38;136.0;5.27;1.07;0.516;0.0389;1.83;0.14;1.01;55.9;10.4;7.0;26.2;4.62;8.26;2.26;6.67;2.6;0.808;7.69;11.8;0.0;0.65;1.64;0.0;2.84;0.242;8.9;2.11;3.96;0.311;62.8;8.8;10.6;0.846;7.38;0.577;0.876;0.301;1810.0;328.0;-0.218;37.2;-0.26215047;-0.0062137283;1646.9374;95.875694;193.0798;8.222391;30.270742;1.3325669;0.49655995;0.7473307;0.77061564;0.56091976;0.44008994;0.2280713715273246;0.8376239014449899;0.6305089;0.058974613;0.14637172;0.5978686676144834;0.06506235;6.254581893462544
Udimet 700_D70_0;UdimetÃ‚Â 700;Ni-based;Al0.09018C0.00276Co0.17641Cr0.16378Mo0.02882Ni0.49878Ti0.03928;Al0.09018C0.00276Co0.17641Cr0.16378Mo0.02882Ni0.49877Ti0.03928;1.41;135.0;5.35;1.07;0.518;0.0395;1.83;0.144;1.01;55.3;11.7;7.0;25.9;5.21;8.17;2.42;6.55;2.89;0.802;7.67;11.7;0.0;0.701;1.86;0.0;2.75;0.316;9.1;2.17;3.93;0.354;63.7;9.19;10.5;0.867;7.35;0.608;0.87;0.313;1770.0;359.0;-0.14;37.2;-0.3041368;-0.004088795;1627.7523;94.51466;190.67079;8.151982;30.445263;0.96214426;0.49569556;0.65049756;0.77571666;0.55302995;0.44588095;0.3093773901799871;0.8567653793940028;0.6325204;0.016996976;0.09556426;0.6402598535135581;0.1273841;6.254581893462544
U720Li_Y11_0;U?720Ã‚Â Li;Ni-based;Al0.04987B0.00100C0.00140Co0.14163Cr0.17654Mo0.01795Ni0.55057Ti0.05685W0.00399Zr0.00020;Al0.04987B0.001C0.0014Co0.14163Cr0.17654Mo0.01795Ni0.55057Ti0.05685W0.00399Zr0.0002;1.34;136.0;4.54;1.14;0.516;0.0334;1.83;0.138;1.22;56.4;12.3;10.0;26.4;5.2;8.41;2.39;6.76;2.74;0.803;7.75;11.9;0.0559;0.659;1.65;0.883;2.87;0.239;8.88;2.14;3.97;0.305;62.7;8.87;10.6;0.887;7.39;0.527;0.893;0.322;1810.0;321.0;-0.403;37.5;-0.2621894;-0.0006811656;1572.2173;95.552505;190.40143;8.342496;30.276958;1.0780907;0.5018476;0.69264317;0.7707987;0.5300543;0.4302498;0.1268881787795191;0.6337554738942555;0.6181076;0.05891281;0.11539459;0.5415429207651392;0.103755005;6.501948979994708
U710_C86_0;U?710;Ni-based;Al0.05408B0.00104C0.00327Co0.14095Cr0.19321Mo0.01755Nb0.00006Ni0.52775Ti0.05745W0.00458Zr0.00006;Al0.05408B0.00104C0.00327Co0.14095Cr0.19321Mo0.01755Nb0.00006Ni0.52775Ti0.05745W0.00458Zr0.00006;1.38;136.0;5.43;1.14;0.516;0.04;1.83;0.143;1.22;56.1;13.0;11.0;26.3;5.46;8.31;2.45;6.66;2.82;0.802;7.72;11.8;0.0641;0.7;1.75;0.945;2.85;0.254;8.83;2.2;3.96;0.326;62.5;9.13;10.5;0.913;7.37;0.565;0.881;0.323;1820.0;332.0;-0.335;37.4;-0.24318276;-0.0023625642;1611.7612;99.80006;192.32492;8.137597;30.171871;0.9343064;0.5189138;0.7884139;0.76768976;0.54643303;0.447066;0.1896283666734252;0.8720235148297334;0.5770957;0.096064806;0.17394377;0.5978686676144834;0.13370232;9.097069293121582
UMF20_M07_0;UMFÃ‚Â 20;Ni-based;Al0.13872Co0.02495Cr0.07984Ni0.66866Re0.01497Ru0.03493Ta0.02794W0.00998;Al0.13872Co0.02495Cr0.07984Ni0.66867Re0.01497Ru0.03493Ta0.02794W0.00998;1.16;134.0;4.33;1.08;0.932;0.0323;1.84;0.146;0.7;61.8;31.8;8.0;28.6;12.3;9.13;3.54;7.77;5.06;0.851;7.89;12.2;0.74;1.23;3.51;3.13;2.72;0.624;9.78;1.91;4.0;0.621;66.7;8.13;10.6;0.857;7.34;0.596;0.959;0.308;1770.0;529.0;-0.042;42.6;-0.35653013;-0.006980244;1740.5273;102.1143;193.20966;8.735129;31.462933;0.09353687;0.5285155;0.48814616;0.80384296;0.5988988;0.39850223;0.0019512635829612;0.5901330302283524;0.5535056;0.0026212744;0.04481898;0.3115329831105839;0.4533675;10.10377110151708
Nasair 100_N85_0;NasairÃ‚Â 100;Ni-based;Al0.12800B0.00016C0.00025Cr0.10466Mo0.00563Ni0.69713Ta0.00912Ti0.02046W0.03460;Al0.128B0.00016C0.00025Cr0.10466Mo0.00563Ni0.69712Ta0.00912Ti0.02046W0.0346;1.02;134.0;4.31;1.08;0.521;0.0321;1.83;0.133;1.05;59.3;28.7;9.0;27.6;11.1;8.97;3.45;7.27;4.53;0.81;7.82;11.9;0.612;1.14;3.12;2.86;2.71;0.556;9.64;2.08;3.96;0.556;66.0;8.81;10.6;0.867;7.32;0.593;0.968;0.303;1770.0;514.0;0.146;40.5;-0.2437677;-0.005227793;1698.1412;100.144455;190.45863;8.6425295;30.630219;-0.20762075;0.52580684;0.6124986;0.7810341;0.5818167;0.40592355;0.0059942403963683;0.5822065438821701;0.56018966;0.09469546;0.08035695;0.1794103173117458;0.60234404;6.513140891415209
IN939_D83_0;INÃ‚Â 939;Ni-based;Al0.03948B0.00050C0.00704Co0.18082Cr0.24271Nb0.00605Ni0.46895Ta0.00436Ti0.04334W0.00615Zr0.00060;Al0.03948B0.0005C0.00704Co0.18082Cr0.24271Nb0.00605Ni0.46895Ta0.00436Ti0.04334W0.00615Zr0.0006;1.4;136.0;6.55;1.14;0.516;0.0483;1.82;0.143;1.22;56.6;15.4;11.0;26.4;6.21;8.33;2.49;6.66;2.81;0.799;7.7;11.9;0.147;0.779;1.87;1.43;2.89;0.259;8.66;2.16;3.97;0.343;61.8;8.94;10.5;0.915;7.39;0.607;0.865;0.306;1840.0;321.0;-0.378;37.6;-0.24396297;-0.0038934574;1582.761;98.79942;206.70667;8.291384;29.963932;0.9988426;0.47796923;0.78293675;0.7614518;0.53442913;0.43443114;0.1755965225375454;0.9998074482279724;0.67267483;0.09424173;0.17004387;0.6261459274240386;0.11944618;10.150225454549842
