;Mn;Pd;Cr;Rh;Pt;Ru;Ir;Ta;Nb;Sn;Sc;Co;Ni;Sm;V;La;Ce;Fe;Au;Ti;Zr;Hf;As;Ag;In;Zn;Ge;Cd;Te;Cu;Re;Mo;Y;Pb;Bi;Sb;Ga;Al;Si;Hg;W;Mg
Sc;0.35706240313630055;0.5966128285454043;0.22274885998902788;0.3755029362823749;0.293750619838248;0.31955871893754256;0.31955871893754256;0.3095240184000055;0.16564101783147103;0.7133741964056354;1.0;0.8064660784112693;0.6266478698919998;0.7757824827163188;0.7807125568624175;0.7159970554625318;0.6311255113788146;0.5907960697601636;0.6760568668406192;0.7742915697434561;0.7742915697434561;0.7742915697434561;0.8102163671648298;0.6956328561065813;0.7427981526104122;0.70215991250451;0.70215991250451;0.70215991250451;0.7189643971578912;0.7149157884769369;0.6750321720776767;0.6506207959127691;0.7082861375844259;0.7224388741166179;0.7232034005133521;0.7245285901541221;0.6903508793966131;0.6897422479207039;0.6555947464638646;0.640657875817012;0.6496897412463589;0.6449888279976864
Co;0.09832349919819812;0.6555806660186091;0.09017899778913244;0.2932087934514807;0.1760711038806845;0.21248875536395057;0.21248875536395057;0.435570605517883;0.05076759600826726;0.7066931371066871;0.8064660784112693;1.0;0.8329731685842733;0.41751851939206835;0.4184279972079371;0.3290359536134194;0.2497961636149331;0.22224536116618382;0.5751234953782083;0.3978390599892952;0.3978390599892952;0.3978390599892952;0.7115332409834932;0.548105624540376;0.565527984151148;0.5013168000234884;0.5013168000234884;0.5013168000234884;0.6074003610505528;0.61417503539811;0.5501221080814935;0.5175242112639725;0.44893460001523694;0.5135558763210741;0.5354929809795168;0.5334729663407805;0.4909240323518157;0.49047813702362053;0.4571228864147846;0.44639186290801164;0.4568494087608555;0.4508973861357578
Ni;0.0618321091507159;0.773904936418121;0.07056990979253305;0.33438181782478266;0.19303120663384746;0.23693201769529304;0.23693201769529304;0.1342749695838083;0.05824207619022442;0.4927146311720669;0.6266478698919998;0.8329731685842734;1.0;0.11601424088821331;0.1388718596582103;0.13259641525797558;0.127432656430217;0.12513520866199362;0.3417387425090998;0.08517032291440121;0.08517032291440121;0.08517032291440121;0.35893572897155107;0.18349245040527892;0.2126823121318338;0.15231042445926785;0.15231042445926785;0.15231042445926785;0.18317183057978506;0.1870009918126671;0.13725923523890668;0.1155320364979136;0.08024060042362925;0.14028377779555073;0.14609912454310478;0.15372834639793193;0.10911680005476929;0.10874957792853875;0.075316029970459;0.06395547431872224;0.07545380628346858;0.06640953598718437
Sm;0.31887320286909304;0.1210255168901984;0.07315014841524241;0.08333057779190332;0.06876336627252852;0.07339967347307481;0.07339967347307481;0.2674882327305538;0.238316447788418;0.6261892048289256;0.7757824827163187;0.4175185193920684;0.11601424088821331;1.0;0.9742678816423492;0.9288876021486367;0.8258754644022652;0.784966761280068;0.6173192241991787;0.7523734984312471;0.7523734984312471;0.7523734984312471;0.7923642164011104;0.7656746082105423;0.8224076104861782;0.8077645897691825;0.8077645897691825;0.8077645897691825;0.7752593359050655;0.7632551618780598;0.7613432258814601;0.7511535829898606;0.9038117989227021;0.8498484634309348;0.8379136042975637;0.838489937314078;0.803784413265777;0.8031398421582187;0.7876523207199227;0.7759660795146323;0.7820342464335228;0.7868874094162602
V;0.3676796360153442;0.18561679779615217;0.1296974270717464;0.15677882515279912;0.14168671189803247;0.14665153822275706;0.14665153822275706;0.30127518914706075;0.31190100530915055;0.5588926870533495;0.7807125568624174;0.4184279972079371;0.1388718596582103;0.9742678816423493;1.0;0.9493133489981913;0.8723938622415814;0.8381787788589017;0.6470796305861358;0.7177498806034028;0.7177498806034027;0.7177498806034027;0.7589586238948256;0.7409295861653352;0.7835556000640779;0.7765307987925697;0.7765307987925697;0.7765307987925697;0.7332054059720096;0.7216498063294454;0.704449305811491;0.6888075156605;0.829164345663269;0.8122727941803823;0.7879326752473131;0.7931409312443901;0.7680125445017242;0.7673657373525762;0.745329418825576;0.7176856890823237;0.726304661554904;0.7267439612809673
La;0.39588188904248783;0.14711695931367932;0.106241530661392;0.10819934660696477;0.09208287587289508;0.09724895184562739;0.09724895184562739;0.300188921000172;0.3508757761853406;0.46978109374997346;0.7159970554625318;0.32903595361341936;0.13259641525797558;0.9288876021486369;0.9493133489981914;1.0;0.97593828768857;0.9584380479414946;0.5585795984758797;0.5765989410469603;0.5765989410469603;0.5765989410469603;0.6037460597552649;0.5914604144217219;0.6451365829538624;0.6426639279887313;0.6426639279887313;0.6426639279887313;0.5369873831586438;0.5235840752568498;0.5143546135694053;0.5042743940279547;0.6810709114462866;0.6540059634433665;0.6024931622731428;0.6133013716066542;0.5597716073453244;0.5587972874584051;0.5263624101102615;0.5069944175081929;0.5138631474311699;0.5156873049024251
Ce;0.41585697341107963;0.1488385728720198;0.1196090677623477;0.1148796653855375;0.09983880723354924;0.10469196131205874;0.10469196131205874;0.2957238175553457;0.3920325348994262;0.339393804462127;0.6311255113788147;0.2497961636149331;0.127432656430217;0.8258754644022652;0.8723938622415814;0.97593828768857;1.0;0.9973572597605791;0.4867368725149294;0.4369041603327014;0.4369041603327013;0.4369041603327013;0.45054947573512416;0.44961472690327137;0.49704552933222;0.5029692974039249;0.5029692974039249;0.5029692974039249;0.3611707827030176;0.34779381918216284;0.3349875206770671;0.32568629195305604;0.5051474468882106;0.49600102014797753;0.42408810901897437;0.4400067020536371;0.3799488608666072;0.3788497459372793;0.3384677493681096;0.31585047218540396;0.32256714716500173;0.32279358117650825
Fe;0.4092479517978176;0.14119091166306413;0.11222330629076345;0.10525975881070868;0.09017964739913799;0.09502273150428074;0.09502273150428074;0.29304894601092263;0.40294395903446406;0.2981610471570128;0.5907960697601636;0.22224536116618382;0.12513520866199362;0.784966761280068;0.8381787788589017;0.9584380479414946;0.9973572597605791;1.0;0.4570118948003655;0.3745096428013656;0.3745096428013656;0.3745096428013656;0.3970974627072658;0.3991704208776903;0.44458599317548575;0.4524988098214076;0.4524988098214077;0.4524988098214077;0.30059430384641256;0.2873172249425839;0.2739670215174034;0.2652017662324001;0.4445225240174357;0.4401090216373984;0.36248657538679513;0.37999674471383826;0.3172062560619969;0.316074938021105;0.27398411795326855;0.25064760547894727;0.257386115805502;0.25729471854991404
Au;0.260984712853835;0.37887904380279336;0.28433297983638295;0.27442373694186506;0.2327045493793329;0.24606450653240947;0.24606450653240947;0.2688938215915458;0.07620013661504912;0.4468038358000913;0.6760568668406192;0.5751234953782084;0.3417387425090998;0.6173192241991787;0.6470796305861357;0.5585795984758798;0.4867368725149294;0.4570118948003655;1.0;0.5312372315353249;0.5312372315353249;0.5312372315353249;0.7969854639690734;0.8293744280833619;0.793010083400262;0.808200422963208;0.808200422963208;0.808200422963208;0.7112290472693364;0.7061342067268769;0.6511342252812996;0.6209317939055922;0.5754491720699744;0.7720295365471784;0.6805532691710984;0.7122970823039712;0.648168531687437;0.6466203159555622;0.5462386166043464;0.518291969081584;0.5230905447720386;0.5356044823190056
Ti;0.3566560259488541;0.24377511675493596;0.266674012212268;0.2949291299332389;0.2938471996163068;0.29485332685490273;0.29485332685490273;0.13552319711111593;0.029075818301086343;0.5315736884496043;0.7742915697434561;0.39783905998929525;0.08517032291440121;0.7523734984312471;0.717749880603403;0.5765989410469603;0.43690416033270135;0.3745096428013656;0.5312372315353249;1.0;0.9999999999999998;0.9999999999999998;0.7404771743423468;0.7116237765515516;0.7480412734061763;0.7355224722763894;0.7355224722763894;0.7355224722763894;0.7820010794936588;0.7762364642839309;0.7697688720759714;0.7576406079144782;0.8203792363084701;0.781997260156987;0.8119431603177081;0.8009612249352747;0.8189753862045168;0.8188925101940264;0.8145597012739109;0.8115335416964048;0.81263743317546;0.8123916742761386
