Creep strength Temp ©;Creep strength Stress (Mpa);Creep strength 1 Time for 1% creep (hours);Creep strength 1 Rupture life (hours);Creep strength 1 Elongation / rupture strain (%);LMP;Normalized Composition;DeltaH_mix;1-mr
1050;160.0;4.0;26.0;24.0;28.33200974;Al0.11300Co0.03100Cr0.07600Mo0.01300Ni0.70200Ti0.04000W0.02500;-0.039685;0
1050;160.0;4.0;21.0;23.5;28.20929613;Al0.11300Co0.03100Cr0.07600Mo0.02600Ni0.70100Ti0.04000W0.01300;-0.051774;0
950;300.0;;298.0;;27.48596649;Al0.13424Cr0.08127Hf0.00034Ni0.71792Re0.00973Ru0.01792Si0.00215Ta0.02002W0.01642;0.097676;0.00214999999999999
950;300.0;;266.0;;27.42563024;Al0.13332Cr0.04771Hf0.00035Mo0.02586Ni0.71858Re0.00999Ru0.02455Si0.00221Ta0.02057W0.01687;0.086435;0.00221000000000005
950;300.0;;404.0;;27.64760441;Al0.13659Cr0.05907Hf0.00034Ni0.71479Re0.01319Ru0.03039Si0.00219Ta0.01697Ti0.00642W0.02005;0.0066479;0.00219000000000003
950;300.0;;456.0;13.0;27.711914;Al0.12308Cr0.04820Hf0.00035Mo0.00653Ni0.72917Re0.01683Ru0.01860Si0.00223Ta0.02147Ti0.01309W0.02045;-0.07978;0.00222999999999995
950;300.0;;690.0;40.0;27.93191244;Al0.13484Co0.01869Cr0.02421Mo0.00262Nb0.00054Ni0.74695Re0.02197Ta0.02852Ti0.00316W0.01849;0.023441;0
950;300.0;;531.0;;27.7927906;Al0.13794B0.00023C0.00258Co0.13157Cr0.05368Hf0.00052Mo0.00711Ni0.60343Re0.01782Ta0.02571W0.01940;0.16396;0.00280999999999998
950;300.0;;370.0;11.0;27.60091071;Al0.13692B0.00023C0.00256Co0.13217Cr0.05921Hf0.00052Mo0.00995Ni0.58797Re0.01488Ru0.00975Ta0.02178Ti0.00515W0.01892;0.038322;0.00278999999999996
649;350.0;;100.0;;20.284;Al0.00438C0.00983Cr0.24527Fe0.02114Mn0.00064Mo0.05353Nb0.02478Ni0.63374Si0.00420Ti0.00247;-0.066969;0.01403
649;585.0;;100.0;;20.284;Al0.01283B0.00032C0.00240Cr0.21088Fe0.19117Mn0.00210Mo0.01804Nb0.03230Ni0.51620Si0.00411Ti0.00964;-0.32243;0.00683
649;766.0;;100.0;;20.284;Al0.04013B0.00047C0.00712Co0.18373Cr0.24113Nb0.00613Ni0.46606Ta0.00441Ti0.04405W0.00620Zr0.00056;-0.37885;0.00758999999999999
649;725.0;;100.0;;20.284;Al0.14003C0.00649Cr0.06574Mo0.01250Ni0.72547Ta0.00994W0.03588Zr0.00394;0.26213;0.00649
649;540.0;;100.0;;20.284;C0.00203Cr0.23500Mn0.00334Mo0.03820Nb0.03946Ni0.66620Si0.00544Ta0.00203W0.00831;-0.29815;0.00746999999999998
649;285.0;;100.0;;20.284;Al0.02663C0.00322Cr0.21257Fe0.04948Mn0.00402Ni0.66851Si0.00787Ti0.02771;-0.13331;0.01109
649;350.0;;100.0;;20.284;Al0.02675C0.00416Co0.16484Cr0.21352Fe0.04970Mn0.00404Ni0.50126Si0.00791Ti0.02783;-0.22471;0.01207
649;724.0;;100.0;;20.284;Al0.01108B0.00022C0.00149Co0.12175Cr0.21849Mo0.01994Nb0.03347Ni0.57049Ta0.01057Ti0.01249;-0.56894;0.00170999999999999
649;365.0;;100.0;;20.284;C0.02437Co0.53635Cr0.28707Mn0.00799Ni0.10472Si0.01563W0.02388;0.4828;0.04
1093;138.0;;30.0;;29.33774763;Al0.11054B0.00083C0.00497Co0.10122Cr0.10325Hf0.00668Ni0.60864Ti0.02492W0.03894;0.036993;0.00580000000000003
1148;90.0;;30.0;;30.5189893;Al0.12649B0.00021C0.00241Co0.07362Cr0.08900Hf0.00049Mo0.02200Ni0.64205Re0.00963Ta0.01598Ti0.01813;-0.031092;0.00261999999999996
1093;138.0;;30.2;;29.34168948;Al0.13110B0.00273C0.00020Co0.05002Cr0.07937Hf0.00050Mo0.00922Ni0.67580Re0.00950Ta0.01955Ti0.01232W0.00962Y0.00010;-0.03884;0.00292999999999999
1093;138.0;;31.6;;29.36857255;Al0.14137B0.00022C0.00244Co0.07468Cr0.09029Hf0.00049Mo0.00917Ni0.64284Re0.00945Ta0.01946W0.00958;0.16952;0.00266
